original_page,pdf_page,kind,b02_stream,observed_content,required_public_action,privacy_note,confidence,site_result_status,fulfillment,public_form_now,primary_ru_url,notes
080,79,album_page/photos,1,Две исторические фотографии с авторскими подписями: верхний групповой кадр,"нижний кадр похорон/шествия.  Отдельно вырезать оба снимка, сохранить контекст подписей, связать с историей Тимофея Петровича; не угадывать личности сверх подписей.",historical/public after verification,high,published_text,partial_to_done,published_photo,/vospominaniya/dnevnik/10-prodolzhenie-080-089/,image crop(s) in photo album with captions; context crop may still be missing
081,80,album_page/photo+note,1,"Фотография Александровского централа; подпись сообщает, что отец находился там летом 1910 года.",Создать документальную фотокарточку и связать со страницей Самсонова Т. П. и историей заключения.,historical/public after verification,high,published_text,partial_to_done,published_photo,/vospominaniya/dnevnik/10-prodolzhenie-080-089/,image crop(s) in photo album with captions; context crop may still be missing
082,81,manuscript/biography,1,"Продолжение биографического рассказа о Тимофее Петровиче, работе и поздних годах.",Включить в связную главу об отце  не публиковать как отдельные сырые страницы.,historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/10-prodolzhenie-080-089/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
083,82,manuscript/biography,1,"Продолжение биографического рассказа о Тимофее Петровиче, работе и поздних годах.",Включить в связную главу об отце  не публиковать как отдельные сырые страницы.,historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/10-prodolzhenie-080-089/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
084,83,manuscript/biography,1,"Продолжение биографического рассказа о Тимофее Петровиче, работе и поздних годах.",Включить в связную главу об отце  не публиковать как отдельные сырые страницы.,historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/10-prodolzhenie-080-089/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
085,84,reference/biography,1,Список партийных съездов/конференций и краткая биографическая справка о Тимофее Петровиче.,Сверить с уже опубликованной биографией  добавить только подтверждённые сведения и ссылку на источник.,historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/10-prodolzhenie-080-089/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
086,85,album_page/photos,1,Две групповые фотографии в интерьере с рукописными подписями.,"Вырезать снимки и подписи, установить контекст только по авторскому тексту, добавить в исторический фотоархив.",historical/public after verification,high,published_text,partial_to_done,published_photo,/vospominaniya/dnevnik/10-prodolzhenie-080-089/,image crop(s) in photo album with captions; context crop may still be missing
087,86,manuscript/poem_or_letter,2,Текст с заголовком «Сестре и брату» и продолжение семейного посвящения.,Опубликовать как отдельный семейный текст либо как начало главы о сестре и брате.,historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/10-prodolzhenie-080-089/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
088,87,manuscript/poem_or_letter,2,Текст с заголовком «Сестре и брату» и продолжение семейного посвящения.,Опубликовать как отдельный семейный текст либо как начало главы о сестре и брате.,historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/10-prodolzhenie-080-089/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
089,88,inserted_letter,2,"Отдельный вложенный лист — личное письмо/обращение к сестре, заканчивающееся воспоминанием о её таланте.",Показать скан вложения и расшифровку как самостоятельный документ  связать с рассказом о Гене.,historical/public after verification,high,published_text,partial,published_text,/vospominaniya/dnevnik/10-prodolzhenie-080-089/,in Genya chapter only; not standalone inserted-letter document
090,89,inserted_letter,2,"Отдельный вложенный лист — личное письмо/обращение к сестре, заканчивающееся воспоминанием о её таланте.",Показать скан вложения и расшифровку как самостоятельный документ  связать с рассказом о Гене.,historical/public after verification,high,published_text,partial,published_text,/vospominaniya/dnevnik/11-prodolzhenie-090-099/,in Genya chapter only; not standalone inserted-letter document
091,90,manuscript/family_story,2,"Рассказ о судьбе сестры Гени, её ребёнке, эвакуации и смерти в 1941 году.",Оставить в содержательной главе о Гене  проверить непрерывность и подписи.,historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/11-prodolzhenie-090-099/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
