original_page,physical_pdf_page,content_type,short_observation,canonical_public_url,public_text_status,public_scan_status,public_photo_status,public_document_status,related_people,related_events,related_places,relation_status,ru_status,en_status,privacy_status,duplicate_of,alternate_scan_of,final_status,remaining_issue
001,001,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/00-oblozhka-i-rodoslovnye/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
002,002,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/00-oblozhka-i-rodoslovnye/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
003,003,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/00-oblozhka-i-rodoslovnye/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
004,004,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/00-oblozhka-i-rodoslovnye/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
005,005,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/00-oblozhka-i-rodoslovnye/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
006,006,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/00-oblozhka-i-rodoslovnye/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
007,007,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/00-oblozhka-i-rodoslovnye/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
008,008,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/01-moya-mama/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
009,009,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/01-moya-mama/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
010,010,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/01-moya-mama/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
011,011,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/01-moya-mama/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
012,012,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/01-moya-mama/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
013,013,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/01-moya-mama/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
014,014,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/01-moya-mama/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
015,015,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/02-otec-brak-deti/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
016,016,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/02-otec-brak-deti/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
